country_name,country_qid,entity,label,type,latitude,longitude
Turkey,Q43,http://www.wikidata.org/entity/Q2302730,Arab Gas Pipeline,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q2645428,Trans-Anatolian Gas Pipeline,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q519472,Blue Stream,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q572699,South Caucasus Pipeline,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q18810087,TurkStream,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q902039,Tabriz–Ankara pipeline,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q48816335,Balkan Stream,Natural gas pipeline,,
Turkey,Q43,http://www.wikidata.org/entity/Q104841012,Trans-Balkan pipeline,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q666347,South Stream,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q192380,Greenstream pipeline,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q12071287,ITGI,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q505615,Trans Adriatic Pipeline,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q746588,Greece–Italy pipeline,Natural gas pipeline,,
Italy,Q38,http://www.wikidata.org/entity/Q839374,GALSI,Natural gas pipeline,,
Libya,Q1016,http://www.wikidata.org/entity/Q192380,Greenstream pipeline,Natural gas pipeline,,
Libya,Q1016,http://www.wikidata.org/entity/Q56373391,Q56373391,Natural gas pipeline,,
Libya,Q1016,http://www.wikidata.org/entity/Q56373429,Q56373429,Natural gas pipeline,,
Libya,Q1016,http://www.wikidata.org/entity/Q56373471,Q56373471,Natural gas pipeline,,
Libya,Q1016,http://www.wikidata.org/entity/Q133043209,Abu-Attifel-Zuwetina gas pipeline,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q1507150,Langeled pipeline,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q30974673,Q30974673,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q470360,Interconnector,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q18162179,Scotland-Northern Ireland pipeline,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q4578405,Norpipe,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q5426508,FLAGS,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q5508354,Fulmar Gas Line,Natural gas pipeline,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q7987078,West of Shetland pipeline,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q250141,Central Asia–China gas pipeline,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q2898164,Power of Siberia,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q7459947,Shaan–Jing pipeline,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q7507454,Sichuan–Shanghai gas pipeline,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q868758,West–East Gas Pipeline,Natural gas pipeline,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q8070977,Zhongxian–Wuhan Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q97193751,Oneok NGL,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q97196131,EPIC NGL,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q16844759,Horizon Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q16981726,Maritimes & Northeast Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q4708640,Alaska Gas Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5094595,Cheyenne Plains Gas Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5149702,Columbia Gulf Transmission,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5265100,Destin Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5329504,East Tennessee Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5461387,Florida Gas Transmission,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5522187,Garden Banks Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5526314,Gas Transmission Northwest,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5614069,Guardian Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q5617372,Gulfstream Natural Gas Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6073464,Iroquois Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6394152,Kern River Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6843464,Midwestern Gas Transmission,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6879082,Mississippi Canyon Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6895008,Mojave Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q25004732,Sabal Trail Transmission Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q6981524,Nautilus Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7054046,North Baja Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7058165,Northern Border Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7060164,Northwest Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7355306,Rockies Express Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7376368,Ruby Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7439983,Sea Robin Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7570165,Southern Natural Pipeline,Natural gas pipeline,,
United States,Q30,http://www.wikidata.org/entity/Q7570556,Southern Trails Pipeline,Natural gas pipeline,,
