country_name,country_qid,entity,label,type,latitude,longitude
Germany,Q183,http://www.wikidata.org/entity/Q19968334,Q19968334,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130385468,Schipkau GICON Wind Turbine,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130706106,Q130706106,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130706107,Q130706107,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130706104,Q130706104,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q7123705,Paderborn Wind Farm,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q84770058,Überlandwerk Eppler,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q1156755,Dachs,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q120671578,Cremzow Battery Storage,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q1370389,Illerkraftwerke,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q134113262,Q134113262,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q97102031,Q97102031,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q97385470,Q97385470,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q97585662,Q97585662,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q97688881,Q97688881,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q106441157,Q106441157,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q106450429,Q106450429,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q106451376,Q106451376,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q106464805,Q106464805,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107604233,Q107604233,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q106518354,Windpark Wülfershausen-Wargolshausen,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q104623265,Q104623265,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q12006319,Q12006319,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q73423398,Q73423398,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q57895052,Feldheim Battery Energy Storage System,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q58842016,Berlin-Steglitz Battery Energy Storage Station,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q64140674,Donau-Staustufe Oberelchingen,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q7450515,Senftenberg Solarpark,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q116205720,Biomasseheizkraftwerk Cracau,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130637987,Q130637987,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q130689466,Q130689466,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q134705356,Q134705356,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q132449553,Windpark Edemannswisch,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107604236,Q107604236,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q105453404,Q105453404,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107485064,Müllheizkraftwerk Solingen,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q122570232,Q122570232,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q125626228,Q125626228,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q126385241,Q126385241,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q111313582,Q111313582,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q111313583,Q111313583,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q11975147,Q11975147,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q11987879,Q11987879,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q12010473,Q12010473,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q17781992,Q17781992,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q19398629,Q19398629,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q132837660,Adlershof photovoltaic power station,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q2505850,VERA Klärschlammverbrennung,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107528052,Q107528052,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q134996800,Q134996800,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q1572704,Uppenbornwerke,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q96807763,Q96807763,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107559342,Q107559342,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107599427,Q107599427,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107599356,Q107599356,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107558009,Q107558009,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q107558352,Q107558352,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q116785236,Q116785236,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q120645082,Q120645082,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q11962531,Q11962531,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q11973845,Q11973845,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q134884634,Wasserkraftwerk Steinhelle 1,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q67792280,Q67792280,power plant,,
Germany,Q183,http://www.wikidata.org/entity/Q67792097,Q67792097,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q4294188,Q4294188,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q4466594,Q4466594,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q55658469,Q55658469,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q65175141,Q65175141,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q109358814,Q109358814,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q109358817,Q109358817,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q21660155,Q21660155,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q12159431,Simferopol thermal power plant,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q28667108,Q28667108,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q58306250,Q58306250,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q58309411,Q58309411,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q58381928,Q58381928,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q61052033,Q61052033,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q65175165,Q65175165,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86670574,Q86670574,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q97664180,Q97664180,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q11990778,Q11990778,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q11991598,Q11991598,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q11995116,Q11995116,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q19376057,Q19376057,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q19381906,Q19381906,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q19384738,Q19384738,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q25426949,Q25426949,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q26923192,Q26923192,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q27020483,Q27020483,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q28666784,Q28666784,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q55664011,Q55664011,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86666646,Q86666646,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86669012,Q86669012,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86676954,Q86676954,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q4453200,Q4453200,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q97913451,Barsuchki hydroelectric power plant,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q65130568,Q65130568,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q65158720,Q65158720,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q66488879,Q66488879,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86663084,Q86663084,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86663188,Q86663188,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86667203,Q86667203,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86667773,Q86667773,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86669078,Q86669078,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q97164878,Q97164878,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q109358900,Q109358900,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q110259606,Q110259606,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q110259609,Q110259609,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q119041297,Q119041297,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q123245450,Q123245450,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q123335776,Q123335776,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q129932709,Q129932709,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q129941416,Q129941416,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q78760348,Kamenskaya VES,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q130324051,Q130324051,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q4304959,Q4304959,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q4288938,Q4288938,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q11977514,Q11977514,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q11991144,Q11991144,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q12009817,Q12009817,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q12011172,Q12011172,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q12106543,Q12106543,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q19380878,Q19380878,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q21635474,Q21635474,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24931288,Q24931288,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24931331,Q24931331,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24931436,Q24931436,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24931963,Q24931963,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24931995,Q24931995,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q24932166,Q24932166,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q28666653,Lower Lena HPP,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q86663005,Q86663005,power plant,,
Russia,Q159,http://www.wikidata.org/entity/Q69039011,Nygri hydroelectric power plant,power plant,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q104830228,Nanning Power Station,power plant,,
