country_name,country_qid,entity,label,type,latitude,longitude
United States,Q30,http://www.wikidata.org/entity/Q4974059,Bronson Windmill,Industrial building,41.1725,-73.292222
United States,Q30,http://www.wikidata.org/entity/Q4806215,Ashworth Brothers Mill,Industrial building,41.6925,-71.179167
United States,Q30,http://www.wikidata.org/entity/Q48817897,Bull Head Lodge and Studio,Industrial building,48.53277778,-113.99583333
United States,Q30,http://www.wikidata.org/entity/Q14708871,Harry F. Wentz Studio,Industrial building,45.7331,-123.944
United States,Q30,http://www.wikidata.org/entity/Q4754116,Anderson Lodge,Industrial building,44.101667,-109.432222
United States,Q30,http://www.wikidata.org/entity/Q18150623,Garrou-Morganton Full-Fashioned Hosiery Mills,Industrial building,35.7475,-81.6869
United States,Q30,http://www.wikidata.org/entity/Q5056966,Cedarburg Woolen Co. Worsted Mill,Industrial building,43.31753,-87.94898
United States,Q30,http://www.wikidata.org/entity/Q4952286,Boyd's Windmill,Industrial building,41.5007,-71.2696
United States,Q30,http://www.wikidata.org/entity/Q5182878,Crawford House Artist's Studio,Industrial building,44.2197,-71.4111
United States,Q30,http://www.wikidata.org/entity/Q3907611,Pollock-Krasner House and Studio,Industrial building,41.023611,-72.155278
United States,Q30,http://www.wikidata.org/entity/Q6675514,Lookout Studio,Industrial building,36.057801,-112.141395
United States,Q30,http://www.wikidata.org/entity/Q18157472,Rock Hill Printing and Finishing Company,Industrial building,34.9308,-81.0303
United States,Q30,http://www.wikidata.org/entity/Q20858274,Rockwell Kent Cottage and Studio,Industrial building,43.76583333,-69.31888889
United States,Q30,http://www.wikidata.org/entity/Q1700764,John L. Nichols House,Industrial building,39.1744,-86.5342
United States,Q30,http://www.wikidata.org/entity/Q6801850,McKenzie Windmill,Industrial building,35.356389,-84.915278
United States,Q30,http://www.wikidata.org/entity/Q19462079,Grey Hosiery Mill,Industrial building,35.3175,-82.4581
United States,Q30,http://www.wikidata.org/entity/Q734970,Taliesin,Industrial building,43.1415,-90.0709
United States,Q30,http://www.wikidata.org/entity/Q36664337,Wawona Visitor Center,Industrial building,37.537261,-119.655375
United States,Q30,http://www.wikidata.org/entity/Q4848347,Bailey Farm Windmill,Industrial building,44.8625,-69.930278
United States,Q30,http://www.wikidata.org/entity/Q5361396,Elisabet Ney Museum,Industrial building,30.3067297,-97.72631406
United States,Q30,http://www.wikidata.org/entity/Q5443667,Fenway Studios,Industrial building,42.347222,-71.091111
United States,Q30,http://www.wikidata.org/entity/Q5522553,Gardiners Island Windmill,Industrial building,41.091111,-72.111111
United States,Q30,http://www.wikidata.org/entity/Q4806220,Ashworth and Jones Factory,Industrial building,42.239722,-71.861389
United States,Q30,http://www.wikidata.org/entity/Q6422171,Knight's Spider Web Farm,Industrial building,44.1168,-72.5432
United States,Q30,http://www.wikidata.org/entity/Q4205142,Eastham Windmill,Industrial building,41.8305,-69.9747
