country_name,country_qid,entity,label,type,latitude,longitude
Germany,Q183,http://www.wikidata.org/entity/Q1069647,Chempark,Industrial park,,
Germany,Q183,http://www.wikidata.org/entity/Q108562090,Chempark Krefeld-Uerdingen,Industrial park,,
South Korea,Q884,http://www.wikidata.org/entity/Q12599013,Q12599013,Industrial park,,
South Korea,Q884,http://www.wikidata.org/entity/Q12585382,Seoul Digital Industrial Complex,Industrial park,,
South Korea,Q884,http://www.wikidata.org/entity/Q131618474,Q131618474,Industrial park,,
Poland,Q36,http://www.wikidata.org/entity/Q11811482,Q11811482,Industrial park,,
Japan,Q17,http://www.wikidata.org/entity/Q17217298,Q17217298,Industrial park,,
Japan,Q17,http://www.wikidata.org/entity/Q11578733,Bannosu Coastal Industrial Park,Industrial park,,
Russia,Q159,http://www.wikidata.org/entity/Q115867403,Reflektor,Industrial park,,
Syria,Q858,http://www.wikidata.org/entity/Q12214409,Q12214409,Industrial park,,
India,Q668,http://www.wikidata.org/entity/Q121095963,Dandumalkapur Green Industrial Park,Industrial park,,
Spain,Q29,http://www.wikidata.org/entity/Q134300282,Llano del Espartal (Alicante),Industrial park,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q125988652,Shuibei Jewelry Park,Industrial park,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q8044026,Xi'an International Trade & Logistics Park,Industrial park,,
