country_name,country_qid,entity,label,type,latitude,longitude
Australia,Q408,http://www.wikidata.org/entity/Q29020173,Belmont,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020142,Redbank Plains,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020243,Sommersby,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020175,Mudgeeraba,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020232,Singleton,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020184,Tenterfield,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020203,Ballina,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020242,Gosford,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020227,Tomago,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020241,Tuggerah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020206,Lennox Head,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020143,Goodna,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020149,Wulkuraka,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020156,Molendinar,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020190,Inverell,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020229,Hawks Nest,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020185,Casino,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020198,Coffs Harbour,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020153,Beenleigh,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020210,Kempsey,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020177,Bungalora,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020234,Lake Munmorah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020212,Brandy Hill,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020207,Suffolk Park,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020152,Raceview,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020238,West Gosford,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020165,Yatala,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020164,Coomera,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020182,Lismore,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020199,Koolkhan,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020162,Robina,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020217,Mullumbimby,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020186,Glen Innes,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020221,Beresfield,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020211,Taree,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020216,Stroud,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020191,Narrabri,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020159,Broadbeach,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020194,Gunnedah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020219,Port Macquarie,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020157,Southport,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020178,South Lismore,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020200,Raleigh,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020171,Murarrie,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020226,Liddell,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020195,Armidale,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020158,Surfers Paradise,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020179,East Lismore,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020214,Rothbury,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020176,Terranora,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020240,Wyong,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020188,Moree,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020208,Ewingsdale,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020197,Dorrigo,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020201,Alstonville,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020209,Macksville,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020237,Ourimbah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020160,Merrimac,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020144,Blackstone,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020161,Nerang,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020205,Dunoon,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020236,Charmhaven,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020244,Colongra,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020174,Cleveland,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020230,Mitchell,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020155,Rocky Point,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020222,Kurri,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020233,Redbank,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020167,Browns Plains,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020239,Vales Point,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020204,Nambucca,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020220,Heron Creek,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020154,Stradbroke Island,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020150,Abermain T136,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020151,Abermain H062,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020163,Cades County,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020183,Casino_T,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020192,Boggabri North,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020193,Boggabri East,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020202,Boambee South,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020213,Capral,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020170,Doboy,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020196,Dumeresq,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020180,Lismore S/S,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020181,Lismore 132,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020166,North Springwood,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020189,Moree SF,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020215,Kurri Zone Sub,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020146,Swanbank East,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020148,Swanbank East Power Station,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020187,Rapville,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020169,SSLBS,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020172,SSBBS,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020225,Muswell Brook 330,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020231,Muswell Brook 132,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020235,Munmorah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020228,Tomago 132,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020141,Bundamba substation,Electrical substation,-27.594166666,152.818055555
Australia,Q408,http://www.wikidata.org/entity/Q29020223,Tamworth,Electrical substation,-31.131666666,150.924722222
Australia,Q408,http://www.wikidata.org/entity/Q29020168,Loganlea,Electrical substation,-27.664444444,153.131111111
Australia,Q408,http://www.wikidata.org/entity/Q29020034,Calvale,Electrical substation,-24.342552,150.6271554
Australia,Q408,http://www.wikidata.org/entity/Q29020042,Moura,Electrical substation,-24.5140298,150.0655577
Australia,Q408,http://www.wikidata.org/entity/Q29020059,Nudgee,Electrical substation,-27.39,153.083055555
Australia,Q408,http://www.wikidata.org/entity/Q29020057,Bald Hills substation,Electrical substation,-27.333611111,153.018888888
Australia,Q408,http://www.wikidata.org/entity/Q29020112,Runcorn,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020122,Postmans Ridge,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020060,Brendale,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020138,Victoria Park,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020084,Chinchilla,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020128,Stanthorpe,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020061,Griffin,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020050,Tarong,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020067,Roma,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020099,Ruby,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020101,Millmerran,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020125,Yarranlea,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020064,Upper Kedron,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020121,Middle Ridge,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020119,South Toowoomba,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020131,Kelvin Grove,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020115,Oakey,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020076,Bellevue,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020107,Corinda,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020043,Cooroy,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020113,Algester,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020044,Nambour,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020117,Dalby,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020055,Caboolture,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020100,Bulli Creek,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020092,Orana,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020037,Woolooga,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020109,Sumner,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020097,Braemar,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020086,Blythdale,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020088,Eurombah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020065,Greenbank,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020090,Yuleba North,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020032,Aramara,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020046,Beerwah,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020033,Mungar,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020126,Lockrose,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020120,Kearneys Spring,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020063,Stafford,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020127,Warwick,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020132,Milton,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020051,Halys,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020108,Tennyson,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020070,Western Downs,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020129,West End,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020045,Palmwoods,Electrical substation,-26.7069349,152.9370717
Australia,Q408,http://www.wikidata.org/entity/Q29020054,Blackwall substation,Electrical substation,-27.541388888,152.785833333
Australia,Q408,http://www.wikidata.org/entity/Q29020140,Wellington Road,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020066,Roma Power Station,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020124,Torrington,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020085,Fairview West,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020139,Ann Street,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020111,Richlands,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020106,Rocklea,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020038,Gin Gin,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020036,Teebar Creek,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020083,Clifford Creek,Electrical substation,,
Australia,Q408,http://www.wikidata.org/entity/Q29020039,Callide B Power Station,Electrical substation,,
