country_name,country_qid,entity,label,type,latitude,longitude
Czech Republic,Q213,http://www.wikidata.org/entity/Q55511741,Řeporyje–Mírovka power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55532409,Výškov–Babylon power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55535121,Přeštice–Kočín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55576705,Bezděčín–Neznášov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55578678,Čebín–Sokolnice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55580231,Milín–Čechy Střed power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55590486,Prosenice–Nošovice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55590525,Kletné–Nošovice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55590553,Hradec–Řeporyje power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55591978,Hradec–Chrást power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55593236,Chodov–Čechy Střed power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55593453,Hradec–Mírovka power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55594358,Hradec–Výškov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55594381,Krasíkov–Neznášov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55594573,Slavětice–Čebín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55619263,Sokolnice–Stupava power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55619705,Sokolnice–Križovany power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55621374,Mírovka–Čebín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55646031,Chotějovice–Bezděčín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55646412,Babylon–Bezděčín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55669754,Kočín–Řeporyje power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55669779,Kočín–Chodov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55669925,Slavětice–Sokolnice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55670023,Týnec–Krasíkov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55670445,Čechy Střed–Bezděčín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55670453,Výškov–Čechy Střed power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55673437,Řeporyje–Chodov power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55690356,Výškov–Čechy Střed power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55758911,Čechy Střed–Bezděčín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55726129,Prunéřov II–Hradec power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55726588,Röhrsdorf–Hradec power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55727450,Etzenricht–Hradec power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55732406,Etzenricht–Přeštice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55751391,Krasíkov–Dlouhé Stráně power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55754167,Krasíkov–Horní Životice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55754193,Horní Životice–Kletné power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55761456,Čechy Střed–Opočínek power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q55762189,Vítkov–Přeštice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q56151669,Nošovice–Varín power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q121141097,Mírovka-Prosenice power line,Underground power cable,,
Czech Republic,Q213,http://www.wikidata.org/entity/Q121323711,Krasíkov-Prosenice power line (V402),Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11400862,Q11400862,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11502335,Q11502335,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11530130,Q11530130,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q1256709,Kita–Iwaki powerline,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11407866,Minami-Niigata Trunk Line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11501469,Shin Futaba power line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11504054,Shin-Sodegaura power line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11519898,Honshu–Shikoku Interconnection,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11593101,Fukushima Trunk Line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11593135,Fukushima-Higashi Trunk Line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q11604963,Kii Channel HVDC system,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q18339468,Minami-Iwaki Trunk Line,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q5636203,HVDC Hokkaido–Honshu,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q7105634,Osaki Channel Crossing,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q57300438,Hida–Shinano HVDC link,Underground power cable,,
Japan,Q17,http://www.wikidata.org/entity/Q5119028,Chūshi Powerline Crossing,Underground power cable,34.332166666,132.98425
Germany,Q183,http://www.wikidata.org/entity/Q105337844,380 kV line Lubmin-Wolmirstedt,Underground power cable,54.139167,13.6825
Germany,Q183,http://www.wikidata.org/entity/Q85788332,NeuConnect,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q175924,Kontek,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q228061,380 kV Berlin diagonal power line,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q15710923,SuedLink,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q19335183,SuedOstLink,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q5636204,HVDC Lehrte–Misburg,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q22949127,ALEGrO,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q830592,Elbe Project,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q28066581,Dörpen/West–Wesel power line,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q131572617,BorWin5,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q117572557,Q117572557,Underground power cable,49.14248,9.1446
Germany,Q183,http://www.wikidata.org/entity/Q79487579,Q79487579,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q102428294,Q102428294,Underground power cable,,
Germany,Q183,http://www.wikidata.org/entity/Q102259593,380-kV Wahle-Mecklar electric power transmission,Underground power cable,,
