country_name,country_qid,entity,label,type,latitude,longitude
People's Republic of China,Q148,http://www.wikidata.org/entity/Q14423633,Huanghe Hydropower Golmud Solar Park,Solar power station,36.4,95.125
People's Republic of China,Q148,http://www.wikidata.org/entity/Q126737179,Ürümqi Solar Farm,Solar power station,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q7267821,Qinghai Golmud Solar Park,Solar power station,36.33777778,95.22166667
People's Republic of China,Q148,http://www.wikidata.org/entity/Q23021244,Q23021244,Solar power station,32.5053,80.1325
People's Republic of China,Q148,http://www.wikidata.org/entity/Q39059038,Sungrow Huainan Solar Farm,Solar power station,32.581821,116.594645
People's Republic of China,Q148,http://www.wikidata.org/entity/Q31908028,Q31908028,Solar power station,39.975,113.485
People's Republic of China,Q148,http://www.wikidata.org/entity/Q65119771,Golmud CPV Solar Park,Solar power station,36.328611,94.801944
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5896022,Hongsibu Solar Park,Solar power station,37.303333333,105.951944444
People's Republic of China,Q148,http://www.wikidata.org/entity/Q47490940,Wuhai solar updraft power plant,Solar power station,39.76716,106.82983
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5208786,Dahe Solar Park,Solar power station,41.06666667,114.38333333
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5521504,Gansu Dunhuang Solar Park,Solar power station,40.06666667,94.5
People's Republic of China,Q148,http://www.wikidata.org/entity/Q54509739,Tengger Desert Solar Park,Solar power station,37.562,105.0413
People's Republic of China,Q148,http://www.wikidata.org/entity/Q6191972,Jiayuguan Solar Park,Solar power station,39.68333333,99.0
People's Republic of China,Q148,http://www.wikidata.org/entity/Q107450009,Q107450009,Solar power station,,
People's Republic of China,Q148,http://www.wikidata.org/entity/Q123503891,Longyangxia Dam Solar Park,Solar power station,36.1297,100.5567
People's Republic of China,Q148,http://www.wikidata.org/entity/Q8044787,Xitieshan Solar Park,Solar power station,37.3094,95.4847
People's Republic of China,Q148,http://www.wikidata.org/entity/Q8048547,Yangbajing Solar Park,Solar power station,30.0833,90.5333
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5925425,Huaneng Geermu Solar Park,Solar power station,36.38333333,95.1
People's Republic of China,Q148,http://www.wikidata.org/entity/Q2944622,Shigatse Photovoltaic Power Plant,Solar power station,29.3008,88.8544
Japan,Q17,http://www.wikidata.org/entity/Q96913124,Q96913124,Solar power station,43.037666666,144.437611111
Japan,Q17,http://www.wikidata.org/entity/Q11428112,Q11428112,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q11503609,Q11503609,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q40719125,SoftBank Tomatoh Abira Solar Park,Solar power station,42.719444444,141.792222222
Japan,Q17,http://www.wikidata.org/entity/Q11529307,Masaki Solar Power Station,Solar power station,33.802083,132.691194
Japan,Q17,http://www.wikidata.org/entity/Q17218989,Q17218989,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q17223804,Q17223804,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q17229953,Q17229953,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q39219516,Q39219516,Solar power station,42.910555555,143.964166666
Japan,Q17,http://www.wikidata.org/entity/Q22118783,Q22118783,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q22119879,Q22119879,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q22120063,Q22120063,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q24871950,Q24871950,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q11592020,Fukuyama solar power station,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q20043716,Q20043716,Solar power station,35.06208333,134.74219444
Japan,Q17,http://www.wikidata.org/entity/Q16892660,Ukujima Mega Solar Plant,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q17193619,Iyotetsu Tōon Solar Power Station,Solar power station,,
Japan,Q17,http://www.wikidata.org/entity/Q6428293,Komekurayama Solar Power Plant,Solar power station,35.58333333,138.56666667
Japan,Q17,http://www.wikidata.org/entity/Q39219286,Q39219286,Solar power station,42.993055555,144.185833333
Japan,Q17,http://www.wikidata.org/entity/Q7080072,Ogishima Solar Power Plant,Solar power station,35.48861111,139.72722222
Japan,Q17,http://www.wikidata.org/entity/Q40719421,Q40719421,Solar power station,42.655555555,141.675555555
Japan,Q17,http://www.wikidata.org/entity/Q105109804,Q105109804,Solar power station,42.301361111,140.2685
Japan,Q17,http://www.wikidata.org/entity/Q17210815,Q17210815,Solar power station,33.33844444,130.38202778
Japan,Q17,http://www.wikidata.org/entity/Q11529797,Matsuyama Solar Power Station,Solar power station,33.9,132.73
Japan,Q17,http://www.wikidata.org/entity/Q17228576,Q17228576,Solar power station,33.944396,133.210179
Japan,Q17,http://www.wikidata.org/entity/Q11558514,Ukishima Solar Power Plant,Solar power station,35.515555555,139.777777777
Japan,Q17,http://www.wikidata.org/entity/Q65064841,Setouchi Kirei Mega Solar Power Plant,Solar power station,,
