country_name,country_qid,entity,label,type,latitude,longitude
United States,Q30,http://www.wikidata.org/entity/Q5599960,Great Sierra Wagon Road,Frontage road (service road),37.821805572,-119.808327907
Netherlands,Q55,http://www.wikidata.org/entity/Q19405960,Parallelweg-Noord,Frontage road (service road),50.8919,5.8561
Netherlands,Q55,http://www.wikidata.org/entity/Q19405769,Parallelweg,Frontage road (service road),50.9715,5.8214
Netherlands,Q55,http://www.wikidata.org/entity/Q19405887,Parallelweg,Frontage road (service road),51.0056,5.8614
Netherlands,Q55,http://www.wikidata.org/entity/Q19405683,Parallelstraat,Frontage road (service road),50.9414,5.9214
People's Republic of China,Q148,http://www.wikidata.org/entity/Q2188182,Gloucester Road,Frontage road (service road),22.27943,114.17519
People's Republic of China,Q148,http://www.wikidata.org/entity/Q7224709,Yeung Uk Road,Frontage road (service road),22.36742825,114.11644176
People's Republic of China,Q148,http://www.wikidata.org/entity/Q16313259,Connaught Road West,Frontage road (service road),22.28862,114.14309
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5094265,Cheung Sha Wan Road,Frontage road (service road),22.33485,114.157007
People's Republic of China,Q148,http://www.wikidata.org/entity/Q16313103,Connaught Road Central,Frontage road (service road),22.284585675,114.156741499
Spain,Q29,http://www.wikidata.org/entity/Q5646765,N-IIa,Frontage road (service road),41.320661,-1.824006
Belgium,Q31,http://www.wikidata.org/entity/Q108098123,Descente de la Dunette,Frontage road (service road),50.85229,4.45545
Belgium,Q31,http://www.wikidata.org/entity/Q108098779,Voie Montefiore,Frontage road (service road),50.85042,4.45998
Belgium,Q31,http://www.wikidata.org/entity/Q108098774,Voie Minckeleers,Frontage road (service road),50.85117,4.46003
