country_name,country_qid,entity,label,type,latitude,longitude
United Kingdom,Q145,http://www.wikidata.org/entity/Q11972431,Q11972431,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q11998416,Q11998416,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q17762809,Q17762809,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q132860987,Hirwaun Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q132861010,Millbrook Power,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q132861016,Progress Power,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q117262064,Bispham Flexible Generation,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116861425,Grangemouth CHP,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116861380,Severn Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116861411,West Burton B Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116863673,Fellside Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116875442,Fawley Cogen Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116884110,Redfield Road Gas Generation Plant,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116886641,Lester Way Power Plant,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116886710,Red Scar Peaking Plant,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116886687,The Drove Power Plant,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116899982,Derby Gas Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116900565,Exeter Gas Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116901037,Heartlands Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116904528,Trafalgar Park Gas Peaking Plant,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116907489,Chickerell Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116910963,Burghfield Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q116912418,Keadby Three Power Station,Gas-fired power station,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q117036082,Goose House Lane Power Station,Gas-fired power station,,
