country_name,country_qid,entity,label,type,latitude,longitude
Philippines,Q928,http://www.wikidata.org/entity/Q23048102,BacMan Geothermal Production Field,Geothermal power station,13.0601,123.92935
Philippines,Q928,http://www.wikidata.org/entity/Q6743831,Malitbog Geothermal Power Station,Geothermal power station,11.15194444,124.64944444
Philippines,Q928,http://www.wikidata.org/entity/Q117480284,Tiwi Geothermal Power Plant,Geothermal power station,13.465694444,123.649472222
Philippines,Q928,http://www.wikidata.org/entity/Q118900615,Mak–Ban Geothermal Power Plant,Geothermal power station,14.091222222,121.218583333
Philippines,Q928,http://www.wikidata.org/entity/Q19818687,Mount Apo Geothermal Power Plant,Geothermal power station,7.013,125.22
Philippines,Q928,http://www.wikidata.org/entity/Q113457448,Palinpinon Power Plant,Geothermal power station,,
Philippines,Q928,http://www.wikidata.org/entity/Q118901881,Palinpinon Geothermal Power Plant,Geothermal power station,9.2935,123.171694444
United States,Q30,http://www.wikidata.org/entity/Q84698648,Mammoth Geothermal Complex,Geothermal power station,37.645555555,-118.911666666
United States,Q30,http://www.wikidata.org/entity/Q106742231,Bottle Rock Power Plant,Geothermal power station,38.8349,-122.76818
United States,Q30,http://www.wikidata.org/entity/Q133815721,TIGER,Geothermal power station,40.345676,-74.644013
United States,Q30,http://www.wikidata.org/entity/Q7406175,Salton Sea Power Station,Geothermal power station,33.163333333,-115.616666666
United States,Q30,http://www.wikidata.org/entity/Q65050434,Soda Lake Geothermal Plant,Geothermal power station,39.5553773,-118.8382369
United States,Q30,http://www.wikidata.org/entity/Q133815724,TIGER CUB,Geothermal power station,40.335747,-74.642151
United States,Q30,http://www.wikidata.org/entity/Q3109025,The Geysers,Geothermal power station,38.775,-122.755277777
United States,Q30,http://www.wikidata.org/entity/Q7413803,San Emidio Geothermal Plant,Geothermal power station,40.3693,-119.406
United States,Q30,http://www.wikidata.org/entity/Q4929512,Blue Mountain Faulkner 1 Geothermal Power Plant,Geothermal power station,40.9961,-118.1414
United States,Q30,http://www.wikidata.org/entity/Q2944538,Puna Geothermal Venture,Geothermal power station,19.4783,-154.888
United States,Q30,http://www.wikidata.org/entity/Q116716220,Salton Sea Power Gen Co - Unit 4,Geothermal power station,33.157,-115.6386
United States,Q30,http://www.wikidata.org/entity/Q116696073,Blundell,Geothermal power station,38.4889,-112.8533
United States,Q30,http://www.wikidata.org/entity/Q116715296,Galena 2 Geothermal Power Plant,Geothermal power station,39.373189,-119.7645
United States,Q30,http://www.wikidata.org/entity/Q116714948,Salton Sea Power LLC - Unit 5,Geothermal power station,33.1533,-115.6384
United States,Q30,http://www.wikidata.org/entity/Q116723378,Whitegrass No. 1,Geothermal power station,39.163279,-119.1805
United States,Q30,http://www.wikidata.org/entity/Q116712486,Salton Sea Power Gen Co - Unit 2,Geothermal power station,33.1589,-115.6455
United States,Q30,http://www.wikidata.org/entity/Q116724138,CD4,Geothermal power station,37.646053,-118.9158
United States,Q30,http://www.wikidata.org/entity/Q116712596,Vulcan-BN Geothermal Power Company,Geothermal power station,33.1633,-115.6167
United States,Q30,http://www.wikidata.org/entity/Q116715833,ENEL Salt Wells LLC,Geothermal power station,39.2944,-118.5725
United States,Q30,http://www.wikidata.org/entity/Q116740265,Mammoth G1,Geothermal power station,37.6451,-118.9143
United States,Q30,http://www.wikidata.org/entity/Q116712422,Salton Sea Power Gen Co - Unit 3,Geothermal power station,33.158153,-115.6387
United States,Q30,http://www.wikidata.org/entity/Q116712480,Coso Finance Partners,Geothermal power station,36.0372,-117.7981
United States,Q30,http://www.wikidata.org/entity/Q116718546,"Patua Acquisition Project, LLC",Geothermal power station,39.585833,-119.0731
United States,Q30,http://www.wikidata.org/entity/Q116712946,Dixie Valley,Geothermal power station,39.9663,-117.8557
United States,Q30,http://www.wikidata.org/entity/Q116721317,Tungsten Mountain,Geothermal power station,39.667002,-117.6937
United States,Q30,http://www.wikidata.org/entity/Q116720790,Don A Campbell 2 Geothermal,Geothermal power station,38.835836,-118.3253
United States,Q30,http://www.wikidata.org/entity/Q116718308,Neal Hot Springs Geothermal Project,Geothermal power station,44.023056,-117.4681
United States,Q30,http://www.wikidata.org/entity/Q116713001,Aidlin Geothermal Power Plant,Geothermal power station,38.8339,-122.881
United States,Q30,http://www.wikidata.org/entity/Q131686183,Blundell Geothermal Power Plant,Geothermal power station,38.355833333,-113.236111111
United States,Q30,http://www.wikidata.org/entity/Q116718714,Enel Cove Fort,Geothermal power station,38.560278,-112.5811
United States,Q30,http://www.wikidata.org/entity/Q116740264,Mammoth G3,Geothermal power station,37.6455,-118.9096
United States,Q30,http://www.wikidata.org/entity/Q116712369,Del Ranch Company,Geothermal power station,33.1646,-115.616
United States,Q30,http://www.wikidata.org/entity/Q116712481,Coso Power Developers,Geothermal power station,36.0192,-117.7917
United States,Q30,http://www.wikidata.org/entity/Q116715974,Jersey Valley Geothermal Power Plant,Geothermal power station,40.1808,-117.4739
United States,Q30,http://www.wikidata.org/entity/Q116714949,CE Turbo LLC,Geothermal power station,33.1669,-115.5114
United States,Q30,http://www.wikidata.org/entity/Q116715954,Thermo No 1,Geothermal power station,38.160653,-113.1945
United States,Q30,http://www.wikidata.org/entity/Q116714954,Brady,Geothermal power station,39.796032,-119.01
United States,Q30,http://www.wikidata.org/entity/Q116696053,Geysers Unit 5-20,Geothermal power station,38.777,-122.745
United States,Q30,http://www.wikidata.org/entity/Q116712518,Calistoga Power Plant,Geothermal power station,38.7879,-122.7434
United States,Q30,http://www.wikidata.org/entity/Q116712799,Steamboat Hills LP,Geothermal power station,39.37,-119.7669
United States,Q30,http://www.wikidata.org/entity/Q116712483,Coso Energy Developers,Geothermal power station,36.0019,-117.7886
United States,Q30,http://www.wikidata.org/entity/Q116711854,Geothermal 1,Geothermal power station,38.752,-122.7195
United States,Q30,http://www.wikidata.org/entity/Q116712367,CE Leathers,Geothermal power station,33.1779,-115.565
United States,Q30,http://www.wikidata.org/entity/Q116718768,"Lightning Dock Geothermal HI-01, LLC",Geothermal power station,32.144722,-108.8383
United States,Q30,http://www.wikidata.org/entity/Q116722106,McGinness Hills 3,Geothermal power station,39.5963,-116.8942
United States,Q30,http://www.wikidata.org/entity/Q116711855,Geothermal 2,Geothermal power station,38.7492,-122.7117
United States,Q30,http://www.wikidata.org/entity/Q116715142,Raft River Geothermal Power Plant,Geothermal power station,42.099417,-113.3825
United States,Q30,http://www.wikidata.org/entity/Q116716028,Tuscarora Geothermal Power Plant,Geothermal power station,41.4828,-116.1511
United States,Q30,http://www.wikidata.org/entity/Q116713245,Heber Geothermal,Geothermal power station,32.7146,-115.518
United States,Q30,http://www.wikidata.org/entity/Q116724053,Soda Lake 3,Geothermal power station,39.5545,-118.85
United States,Q30,http://www.wikidata.org/entity/Q116718686,Don A Campbell 1 Geothermal,Geothermal power station,38.836667,-118.3239
United States,Q30,http://www.wikidata.org/entity/Q116713230,Steamboat III,Geothermal power station,39.394444,-119.7475
United States,Q30,http://www.wikidata.org/entity/Q116712370,Elmore Company,Geothermal power station,33.1777,-115.6033
United States,Q30,http://www.wikidata.org/entity/Q116716052,John L. Featherstone Plant,Geothermal power station,33.204635,-115.5733
United States,Q30,http://www.wikidata.org/entity/Q116716025,McGinness Hills,Geothermal power station,39.5911,-116.9119
United States,Q30,http://www.wikidata.org/entity/Q116712846,Ormesa I,Geothermal power station,32.8156,-115.2568
United States,Q30,http://www.wikidata.org/entity/Q116713266,Ormesa II,Geothermal power station,32.7881,-115.2481
United States,Q30,http://www.wikidata.org/entity/Q116712237,Beowawe,Geothermal power station,40.5547,-116.6175
United States,Q30,http://www.wikidata.org/entity/Q116712845,Stillwater Facility,Geothermal power station,39.547537,-118.5556
United States,Q30,http://www.wikidata.org/entity/Q116712484,Salton Sea Power Gen Co Unit 1,Geothermal power station,33.158,-115.6475
United States,Q30,http://www.wikidata.org/entity/Q116715297,Galena 3 Geothermal Power Plant,Geothermal power station,39.388722,-119.7489
United States,Q30,http://www.wikidata.org/entity/Q116696303,Sonoma California Geothermal,Geothermal power station,38.7903,-122.7559
United States,Q30,http://www.wikidata.org/entity/Q116697696,Star Peak Geothermal Plant,Geothermal power station,40.532133,-118.272
United States,Q30,http://www.wikidata.org/entity/Q116715146,Richard Burdette Geothermal,Geothermal power station,39.390843,-119.7546
United States,Q30,http://www.wikidata.org/entity/Q116712920,Amedee Geothermal Venture I,Geothermal power station,40.300833,-120.105
United States,Q30,http://www.wikidata.org/entity/Q116713032,Second Imperial Geothermal,Geothermal power station,32.7144,-115.5356
United States,Q30,http://www.wikidata.org/entity/Q116740266,Mammoth G2,Geothermal power station,37.6464,-118.9092
United States,Q30,http://www.wikidata.org/entity/Q116715480,North Brawley Geothermal Plant,Geothermal power station,33.0139,-115.5439
United States,Q30,http://www.wikidata.org/entity/Q116712424,Ormesa III,Geothermal power station,32.7757,-115.2637
United States,Q30,http://www.wikidata.org/entity/Q116713014,Geo East Mesa II,Geothermal power station,32.7757,-115.2637
United States,Q30,http://www.wikidata.org/entity/Q116713229,Steamboat II,Geothermal power station,39.395603,-119.7468
United States,Q30,http://www.wikidata.org/entity/Q116712128,Desert Peak Power Plant,Geothermal power station,39.753999,-118.9535
