country_name,country_qid,entity,label,type,latitude,longitude
People's Republic of China,Q148,http://www.wikidata.org/entity/Q17406222,Yixing Pumped Storage Power Station,Pumped-storage power station,31.3147,119.758
People's Republic of China,Q148,http://www.wikidata.org/entity/Q107143123,Dunhua Pumped-storage Hydro Power Station,Pumped-storage power station,44.0132667,128.0882028
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84813294,Q84813294,Pumped-storage power station,31.083055555,115.613888888
People's Republic of China,Q148,http://www.wikidata.org/entity/Q6660012,Liyang Pumped Storage Power Station,Pumped-storage power station,31.23805556,119.37638889
People's Republic of China,Q148,http://www.wikidata.org/entity/Q126719855,Q126719855,Pumped-storage power station,35.41828,118.07005
People's Republic of China,Q148,http://www.wikidata.org/entity/Q12011190,Zhanghewan Pumped Storage Power Station,Pumped-storage power station,37.7743,114.058
People's Republic of China,Q148,http://www.wikidata.org/entity/Q6203511,Jixi Pumped Storage Power Station,Pumped-storage power station,30.18527778,118.7825
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84765512,Q84765512,Pumped-storage power station,29.396944444,121.588888888
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5877631,Hohhot Pumped Storage Power Station,Pumped-storage power station,40.98722222,111.68833333
People's Republic of China,Q148,http://www.wikidata.org/entity/Q1079481,Guangdong Pumped Storage Power Station,Pumped-storage power station,23.76444444,113.95333333
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84812389,Q84812389,Pumped-storage power station,29.263888888,90.606388888
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84765493,Q84765493,Pumped-storage power station,28.534722222,120.189166666
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84811298,Q84811298,Pumped-storage power station,31.559722222,116.146111111
People's Republic of China,Q148,http://www.wikidata.org/entity/Q4857466,Baoquan Pumped Storage Power Station,Pumped-storage power station,35.46777778,113.47138889
People's Republic of China,Q148,http://www.wikidata.org/entity/Q11983208,Q11983208,Pumped-storage power station,32.307,118.27
People's Republic of China,Q148,http://www.wikidata.org/entity/Q10379918,Tai'an Pumped Storage Power Station,Pumped-storage power station,36.2254,117.043
People's Republic of China,Q148,http://www.wikidata.org/entity/Q11976006,Huanggou Pumped Storage Power Station,Pumped-storage power station,45.3431,129.701
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84812803,Q84812803,Pumped-storage power station,32.083333333,119.254166666
People's Republic of China,Q148,http://www.wikidata.org/entity/Q17422182,Hongping Pumped Storage Power Station,Pumped-storage power station,29.0664,115.318
People's Republic of China,Q148,http://www.wikidata.org/entity/Q5699602,Heimifeng Pumped Storage Power Station,Pumped-storage power station,28.45972222,113.01
People's Republic of China,Q148,http://www.wikidata.org/entity/Q84765522,Q84765522,Pumped-storage power station,30.489444444,119.608888888
People's Republic of China,Q148,http://www.wikidata.org/entity/Q12006764,Tongbai Pumped Storage Power Station,Pumped-storage power station,29.2031,120.998
