country_name,country_qid,entity,label,type,latitude,longitude
Sweden,Q34,http://www.wikidata.org/entity/Q1563629,HVDC Gotland,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q314180,Baltic Cable,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q351845,Konti-Skan,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q5636219,HVDC Visby–Näs,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q7050527,NordBalt,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q7659648,SydVästlänken,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q906852,Fenno–Skan,high-voltage direct current power line,,
Sweden,Q34,http://www.wikidata.org/entity/Q59795,SwePol,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q1563633,HVDC Kingsnorth,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q117337803,Eastern Green Link 1,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q23041456,Nemo Link,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q7435717,Scotland–Norway interconnector,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q918000,BritNed,high-voltage direct current power line,51.44,0.716667
United Kingdom,Q145,http://www.wikidata.org/entity/Q1563624,HVDC Cross-Channel,high-voltage direct current power line,51.0658,1.5563
United Kingdom,Q145,http://www.wikidata.org/entity/Q131560736,Dogger Bank A Export Cable,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q131560793,Dogger Bank B Export Cable,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q131572485,Sofia Wind Farm Export Cable,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q21208645,Viking Link,high-voltage direct current power line,54.6293,4.2304
United Kingdom,Q145,http://www.wikidata.org/entity/Q28231939,IFA-2,high-voltage direct current power line,50.088,-0.515
United Kingdom,Q145,http://www.wikidata.org/entity/Q134731332,Dogger Bank C Export Cable,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q5636206,HVDC Moyle,high-voltage direct current power line,54.9888,-5.4263
United Kingdom,Q145,http://www.wikidata.org/entity/Q5636209,North Sea Link,high-voltage direct current power line,57.5672,2.6769
United Kingdom,Q145,http://www.wikidata.org/entity/Q7987887,Western HVDC Link,high-voltage direct current power line,54.41021,-5.17121
United Kingdom,Q145,http://www.wikidata.org/entity/Q5331045,East–West Interconnector,high-voltage direct current power line,53.5305,-4.8257
United Kingdom,Q145,http://www.wikidata.org/entity/Q85932728,ElecLink,high-voltage direct current power line,51.0147,1.4967
United Kingdom,Q145,http://www.wikidata.org/entity/Q85764561,Greenlink,high-voltage direct current power line,51.6828,-6.1441
United Kingdom,Q145,http://www.wikidata.org/entity/Q117337813,Scotland to England Green Link 2,high-voltage direct current power line,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q84699868,Caithness - Moray Link,high-voltage direct current power line,58.1377,-2.5632
Norway,Q20,http://www.wikidata.org/entity/Q264054,Skagerrak,high-voltage direct current power line,57.6477,8.618
Norway,Q20,http://www.wikidata.org/entity/Q1563637,HVDC Troll,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q657166,NorNed,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q7435717,Scotland–Norway interconnector,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q1961296,NORD.LINK,high-voltage direct current power line,56.20835,7.23561
Norway,Q20,http://www.wikidata.org/entity/Q131716924,Valhall HVDC,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q131716936,Johan Sverdrup HVDC,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q5636209,North Sea Link,high-voltage direct current power line,57.5672,2.6769
