country_name,country_qid,entity,label,type,latitude,longitude
Norway,Q20,http://www.wikidata.org/entity/Q1563637,HVDC Troll,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q657166,NorNed,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q7435717,Scotland–Norway interconnector,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q131716924,Valhall HVDC,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q131716936,Johan Sverdrup HVDC,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q110111630,Q110111630,high-voltage direct current power line,,
Norway,Q20,http://www.wikidata.org/entity/Q110665863,Q110665863,high-voltage direct current power line,,
Netherlands,Q55,http://www.wikidata.org/entity/Q657166,NorNed,high-voltage direct current power line,,
Netherlands,Q55,http://www.wikidata.org/entity/Q20962155,COBRAcable,high-voltage direct current power line,,
Netherlands,Q55,http://www.wikidata.org/entity/Q134730311,IJmuiden Ver Alpha Export Cable,high-voltage direct current power line,,
Netherlands,Q55,http://www.wikidata.org/entity/Q134730439,IJmuiden Ver Beta Export Cable,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q175924,Kontek,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q28600334,Q28600334,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q314180,Baltic Cable,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q15710923,SuedLink,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q19335183,SuedOstLink,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q19599431,BorWin3,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q19599434,HelWin2,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q19599435,SylWin1,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q631037,BorWin1,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q5636200,HelWin1,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q5636204,HVDC Lehrte–Misburg,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q22949127,ALEGrO,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q23580988,BorWin2,high-voltage direct current power line,,
Germany,Q183,http://www.wikidata.org/entity/Q129015112,DolWin6,high-voltage direct current power line,,
