country_name,country_qid,entity,label,type,latitude,longitude
Denmark,Q35,http://www.wikidata.org/entity/Q264054,Skagerrak,submarine power cable,57.6477,8.618
Denmark,Q35,http://www.wikidata.org/entity/Q351845,Konti-Skan,submarine power cable,,
Denmark,Q35,http://www.wikidata.org/entity/Q20962155,COBRAcable,submarine power cable,,
Denmark,Q35,http://www.wikidata.org/entity/Q5598748,Great Belt Power Link,submarine power cable,,
Denmark,Q35,http://www.wikidata.org/entity/Q21208645,Viking Link,submarine power cable,54.6293,4.2304
Denmark,Q35,http://www.wikidata.org/entity/Q893982,Bornholm Cable,submarine power cable,55.2972,14.4353
Ireland,Q27,http://www.wikidata.org/entity/Q28154456,Celtic Interconnector,submarine power cable,,
Ireland,Q27,http://www.wikidata.org/entity/Q5331045,East–West Interconnector,submarine power cable,53.5305,-4.8257
Ireland,Q27,http://www.wikidata.org/entity/Q85764561,Greenlink,submarine power cable,51.6828,-6.1441
Norway,Q20,http://www.wikidata.org/entity/Q264054,Skagerrak,submarine power cable,57.6477,8.618
Norway,Q20,http://www.wikidata.org/entity/Q1563637,HVDC Troll,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q631095,NorGer,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q657166,NorNed,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q7435717,Scotland–Norway interconnector,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q1961296,NORD.LINK,submarine power cable,56.20835,7.23561
Norway,Q20,http://www.wikidata.org/entity/Q131716924,Valhall HVDC,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q131716936,Johan Sverdrup HVDC,submarine power cable,,
Norway,Q20,http://www.wikidata.org/entity/Q5636209,North Sea Link,submarine power cable,57.5672,2.6769
Italy,Q38,http://www.wikidata.org/entity/Q2204736,HVDC Italy–Corsica–Sardinia,submarine power cable,,
Italy,Q38,http://www.wikidata.org/entity/Q3721949,Malta–Sicily interconnector,submarine power cable,,
Italy,Q38,http://www.wikidata.org/entity/Q3943420,SAPEI,submarine power cable,,
Italy,Q38,http://www.wikidata.org/entity/Q585906,HVDC Italy–Greece,submarine power cable,,
Italy,Q38,http://www.wikidata.org/entity/Q23746774,MON.ITA,submarine power cable,,
Greece,Q41,http://www.wikidata.org/entity/Q585906,HVDC Italy–Greece,submarine power cable,,
Greece,Q41,http://www.wikidata.org/entity/Q5411505,EuroAsia Interconnector,submarine power cable,,
Greece,Q41,http://www.wikidata.org/entity/Q131715438,Crete-Attica interconnection,submarine power cable,,
Greece,Q41,http://www.wikidata.org/entity/Q48527345,EuroAfrica Interconnector,submarine power cable,,
Netherlands,Q55,http://www.wikidata.org/entity/Q657166,NorNed,submarine power cable,,
Netherlands,Q55,http://www.wikidata.org/entity/Q20962155,COBRAcable,submarine power cable,,
Netherlands,Q55,http://www.wikidata.org/entity/Q918000,BritNed,submarine power cable,51.44,0.716667
Netherlands,Q55,http://www.wikidata.org/entity/Q134730311,IJmuiden Ver Alpha Export Cable,submarine power cable,,
Netherlands,Q55,http://www.wikidata.org/entity/Q134730439,IJmuiden Ver Beta Export Cable,submarine power cable,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q117337803,Eastern Green Link 1,submarine power cable,,
United Kingdom,Q145,http://www.wikidata.org/entity/Q23041456,Nemo Link,submarine power cable,,
